[INFO] [1775809234.198878202] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775809234.200046546] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775809264.201245661] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775809264.202836274] [fleet_scheduler]: Generated 1 new tasks
[INFO] [1775809264.205786505] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> med_delivery_1(priority=high): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=12.71
[INFO] [1775809264.207164144] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> med_delivery_2(priority=critical): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.51
[INFO] [1775809264.208268654] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> clean_ward_a(priority=medium): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=18.92
[INFO] [1775809264.209398940] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> clean_er(priority=high): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=6.32
[INFO] [1775809264.210509646] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_move_1(priority=critical): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=10.51
[INFO] [1775809264.211645542] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_move_2(priority=critical): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=16.50
[INFO] [1775809264.212835165] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_samples_1(priority=high): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=23.11
[INFO] [1775809264.213997480] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_samples_2(priority=critical): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=22.50
[INFO] [1775809264.215112406] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> supply_stock_1(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775809264.216183581] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> supply_stock_2(priority=high): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=14.71
[INFO] [1775809264.217277347] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> equip_move_1(priority=medium): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=40.50
[INFO] [1775809264.218444821] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> food_delivery_1(priority=low): distance=6.0, time=33.01, spec_bonus=-2.00, battery_penalty=0.00, total=31.01
[INFO] [1775809264.219618053] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> food_delivery_2(priority=medium): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=33.10
[INFO] [1775809264.220631133] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> document_delivery_1(priority=low): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=19.02
[INFO] [1775809264.221661263] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> delivery_task_1(priority=medium): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=16.92
[INFO] [1775809264.222750722] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> med_delivery_1(priority=high): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.52
[INFO] [1775809264.223801226] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> med_delivery_2(priority=critical): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=5.51
