[INFO] [1775717388.869098458] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775717388.870748950] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775717418.872015707] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717418.956520288] [fleet_scheduler]: Cost for robot_5 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.958718665] [fleet_scheduler]: Cost for robot_5 -> transport_equipment_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717418.960700682] [fleet_scheduler]: Cost for robot_5 -> restock_supplies_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717418.962622728] [fleet_scheduler]: Cost for robot_5 -> move_patient_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.964418908] [fleet_scheduler]: Cost for robot_5 -> deliver_lab_results_1: distance=9.0, congestion=7.0, predicted=51.00
[INFO] [1775717418.966247881] [fleet_scheduler]: Cost for robot_5 -> support_mri_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.967972769] [fleet_scheduler]: Cost for robot_6 -> deliver_meds_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.969627599] [fleet_scheduler]: Cost for robot_6 -> pickup_samples_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.971572865] [fleet_scheduler]: Cost for robot_6 -> assist_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.973559660] [fleet_scheduler]: Cost for robot_6 -> deliver_food_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.975294096] [fleet_scheduler]: Cost for robot_6 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.976919570] [fleet_scheduler]: Cost for robot_6 -> transport_equipment_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.978711212] [fleet_scheduler]: Cost for robot_6 -> restock_supplies_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.980314196] [fleet_scheduler]: Cost for robot_6 -> move_patient_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.981408020] [fleet_scheduler]: Cost for robot_6 -> deliver_lab_results_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717418.982385738] [fleet_scheduler]: Cost for robot_6 -> support_mri_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717418.983295205] [fleet_scheduler]: Cost for robot_7 -> deliver_meds_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.984190632] [fleet_scheduler]: Cost for robot_7 -> pickup_samples_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717418.985144132] [fleet_scheduler]: Cost for robot_7 -> assist_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.986128926] [fleet_scheduler]: Cost for robot_7 -> deliver_food_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717418.987082719] [fleet_scheduler]: Cost for robot_7 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717418.988031412] [fleet_scheduler]: Cost for robot_7 -> transport_equipment_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717418.988891194] [fleet_scheduler]: Cost for robot_7 -> restock_supplies_1: distance=1.0, congestion=0.0, predicted=7.03
[INFO] [1775717418.989829335] [fleet_scheduler]: Cost for robot_7 -> move_patient_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.990788810] [fleet_scheduler]: Cost for robot_7 -> deliver_lab_results_1: distance=9.0, congestion=7.0, predicted=51.00
[INFO] [1775717418.991705201] [fleet_scheduler]: Cost for robot_7 -> support_mri_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717418.992576324] [fleet_scheduler]: Published assignment: robot_1: deliver_food_1 (Cafeteria -> WardA)
[INFO] [1775717418.993233914] [fleet_scheduler]: Published assignment: robot_2: assist_patient_1 (ER -> ICU)
[INFO] [1775717418.993801637] [fleet_scheduler]: Published assignment: robot_3: clean_room_1 (NurseStation -> WardB)
[INFO] [1775717418.994346807] [fleet_scheduler]: Published assignment: robot_4: move_patient_1 (ER -> WardC)
[INFO] [1775717418.994886244] [fleet_scheduler]: Published assignment: robot_5: deliver_meds_1 (Pharmacy -> WardB)
[INFO] [1775717418.995450287] [fleet_scheduler]: Published assignment: robot_6: support_mri_1 (Radiology -> MRI)
[INFO] [1775717418.996049002] [fleet_scheduler]: Published assignment: robot_7: restock_supplies_1 (Supply -> Pharmacy)
[INFO] [1775717418.996669824] [fleet_scheduler]: Scheduler cycle completed
[INFO] [1775717448.871790556] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717448.873731859] [fleet_scheduler]: Cost for robot_1 -> deliver_meds_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.874895379] [fleet_scheduler]: Cost for robot_1 -> pickup_samples_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.875877214] [fleet_scheduler]: Cost for robot_1 -> assist_patient_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.876771360] [fleet_scheduler]: Cost for robot_1 -> deliver_food_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.877716305] [fleet_scheduler]: Cost for robot_1 -> clean_room_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.878590158] [fleet_scheduler]: Cost for robot_1 -> transport_equipment_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.879468323] [fleet_scheduler]: Cost for robot_1 -> restock_supplies_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.880413097] [fleet_scheduler]: Cost for robot_1 -> move_patient_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.881258657] [fleet_scheduler]: Cost for robot_1 -> deliver_lab_results_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.882143581] [fleet_scheduler]: Cost for robot_1 -> support_mri_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.883034925] [fleet_scheduler]: Cost for robot_2 -> deliver_meds_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.883886735] [fleet_scheduler]: Cost for robot_2 -> pickup_samples_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.884727536] [fleet_scheduler]: Cost for robot_2 -> assist_patient_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.885573375] [fleet_scheduler]: Cost for robot_2 -> deliver_food_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.886449281] [fleet_scheduler]: Cost for robot_2 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.887317385] [fleet_scheduler]: Cost for robot_2 -> transport_equipment_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.888201116] [fleet_scheduler]: Cost for robot_2 -> restock_supplies_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.889113366] [fleet_scheduler]: Cost for robot_2 -> move_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.890278124] [fleet_scheduler]: Cost for robot_2 -> deliver_lab_results_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.891772319] [fleet_scheduler]: Cost for robot_2 -> support_mri_1: distance=3.0, congestion=1.0, predicted=15.02
