[INFO] [1775842277.341456223] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775842277.341944706] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775842307.342692411] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775842307.343543496] [fleet_scheduler]: Generated 1 new tasks
[INFO] [1775842307.403084948] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> med_delivery_1(priority=high): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=12.71
[INFO] [1775842307.405068555] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> med_delivery_2(priority=critical): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.51
[INFO] [1775842307.407158258] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> clean_ward_a(priority=medium): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=8.12
[INFO] [1775842307.409115415] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> clean_er(priority=high): distance=0, time=5.03, spec_bonus=0.00, battery_penalty=0.00, total=3.52
[INFO] [1775842307.411461793] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> patient_move_1(priority=critical): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=4.51
[INFO] [1775842307.413674038] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> patient_move_2(priority=critical): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=10.51
[INFO] [1775842307.416077011] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> lab_samples_1(priority=high): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=14.71
[INFO] [1775842307.418562538] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> lab_samples_2(priority=critical): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=16.50
[INFO] [1775842307.420951449] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> supply_stock_1(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775842307.423496760] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> supply_stock_2(priority=high): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=14.71
[INFO] [1775842307.426031653] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> equip_move_1(priority=medium): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=29.71
[INFO] [1775842307.428327373] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> food_delivery_1(priority=low): distance=8.0, time=45.00, spec_bonus=-2.00, battery_penalty=0.00, total=43.00
[INFO] [1775842307.430973728] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> food_delivery_2(priority=medium): distance=9.0, time=51.00, spec_bonus=-2.00, battery_penalty=0.00, total=43.90
[INFO] [1775842307.432659465] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> document_delivery_1(priority=low): distance=6.0, time=33.01, spec_bonus=-2.00, battery_penalty=0.00, total=31.01
[INFO] [1775842307.433348026] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> patient_mover_task_1(priority=critical): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=10.51
