[INFO] [1775840154.924007396] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775840154.924594328] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775840184.926115488] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775840184.927617248] [fleet_scheduler]: Generated 2 new tasks
[INFO] [1775840184.930405798] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> med_delivery_1(priority=high): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=12.71
[INFO] [1775840184.931792771] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> med_delivery_2(priority=critical): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.51
[INFO] [1775840184.932911404] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> clean_ward_a(priority=medium): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=18.92
[INFO] [1775840184.933988225] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> clean_er(priority=high): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=6.32
[INFO] [1775840184.934990977] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_move_1(priority=critical): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=10.51
[INFO] [1775840184.935993095] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> patient_move_2(priority=critical): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=16.50
[INFO] [1775840184.936963178] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_samples_1(priority=high): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=23.11
[INFO] [1775840184.937978942] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_samples_2(priority=critical): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=22.50
[INFO] [1775840184.938911802] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> supply_stock_1(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775840184.939853377] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> supply_stock_2(priority=high): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=14.71
[INFO] [1775840184.940836553] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> equip_move_1(priority=medium): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=40.50
[INFO] [1775840184.941873546] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> food_delivery_1(priority=low): distance=6.0, time=33.01, spec_bonus=-2.00, battery_penalty=0.00, total=31.01
[INFO] [1775840184.942966739] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> food_delivery_2(priority=medium): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=33.10
[INFO] [1775840184.943972165] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> document_delivery_1(priority=low): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=19.02
[INFO] [1775840184.945042694] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> cleaning_task_1(priority=medium): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=24.31
[INFO] [1775840184.946097548] [fleet_scheduler]: Cost for delivery_1(type=delivery) -> lab_courier_task_2(priority=high): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=23.11
[INFO] [1775840184.947172045] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> med_delivery_1(priority=high): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.52
[INFO] [1775840184.948160010] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> med_delivery_2(priority=critical): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=5.51
[INFO] [1775840184.949183684] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> clean_ward_a(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775840184.950185373] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> clean_er(priority=high): distance=1.0, time=7.03, spec_bonus=0.00, battery_penalty=0.00, total=4.92
[INFO] [1775840184.951220169] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> patient_move_1(priority=critical): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=7.51
[INFO] [1775840184.952348573] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> patient_move_2(priority=critical): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=13.51
[INFO] [1775840184.953433250] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> lab_samples_1(priority=high): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=18.91
[INFO] [1775840184.954519855] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> lab_samples_2(priority=critical): distance=7.0, time=39.01, spec_bonus=0.00, battery_penalty=0.00, total=19.50
[INFO] [1775840184.955515587] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> supply_stock_1(priority=medium): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=8.12
[INFO] [1775840184.956489646] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> supply_stock_2(priority=high): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=10.52
[INFO] [1775840184.957547659] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> equip_move_1(priority=medium): distance=7.0, time=39.01, spec_bonus=0.00, battery_penalty=0.00, total=35.10
[INFO] [1775840184.958562541] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> food_delivery_1(priority=low): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=37.01
[INFO] [1775840184.959547544] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> food_delivery_2(priority=medium): distance=8.0, time=45.00, spec_bonus=-2.00, battery_penalty=0.00, total=38.50
[INFO] [1775840184.960476012] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> document_delivery_1(priority=low): distance=5.0, time=27.01, spec_bonus=-2.00, battery_penalty=0.00, total=25.01
[INFO] [1775840184.961510332] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> cleaning_task_1(priority=medium): distance=4.0, time=21.02, spec_bonus=0.00, battery_penalty=0.00, total=18.92
[INFO] [1775840184.962570114] [fleet_scheduler]: Cost for delivery_2(type=delivery) -> lab_courier_task_2(priority=high): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=18.91
[INFO] [1775840184.963640390] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> med_delivery_1(priority=high): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=12.71
[INFO] [1775840184.964707394] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> med_delivery_2(priority=critical): distance=4.0, time=21.02, spec_bonus=-2.00, battery_penalty=0.00, total=8.51
[INFO] [1775840184.965732699] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> clean_ward_a(priority=medium): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=8.12
[INFO] [1775840184.966855691] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> clean_er(priority=high): distance=0, time=5.03, spec_bonus=0.00, battery_penalty=0.00, total=3.52
[INFO] [1775840184.968169804] [fleet_scheduler]: Cost for delivery_3(type=delivery) -> patient_move_1(priority=critical): distance=2.0, time=9.03, spec_bonus=0.00, battery_penalty=0.00, total=4.51
